year,month,title,author,publisher,image,date,genre,sales_count,score,sales
2024,1,마케팅 설계자,러셀 브런슨 (저) / 이경식 (역),윌북(willbook),https://image.yes24.com/goods/116255710/L,2022년 12월,#마케팅전략,30714.0,8.9,
2024,1,메리골드 마음 세탁소,윤정은 (저),북로망스,https://image.yes24.com/goods/117716170/L,2023년 03월,#올해의책,21744.0,8.9,
2024,1,돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절 (저) / 이지연 (역),인플루엔셜,https://image.yes24.com/goods/96547408/L,2021년 01월,#북클러버의선택,290748.0,9.4,
2024,1,아이는 무엇으로 자라는가,버지니아 사티어 (저) / 강유리 (역),포레스트북스,https://image.yes24.com/goods/124702623/L,2023년 12월,#부모는처음이라,46485.0,9.3,
2024,1,"나태주, 시간의 쉼표",나태주글그림,서울문화사,https://image.yes24.com/goods/95161627/L,2020년 11월,#가을에어울리는책,57204.0,9.6,
2024,1,2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 기본(4·5·6급),최태성 (저),이투스북,https://image.yes24.com/goods/124225729/L,2023년 12월,#분철,27318.0,9.9,
2024,1,2024 나합격 산업안전기사 필기+무료특강+빈출요약집+FINAL 필기시험 문제지,"김현우,허선혜 (저)",삼원북스,https://image.yes24.com/goods/122530684/L,2024년 01월,#산업안전기사,3654.0,9.7,
2024,1,도파민네이션,애나 렘키 (저) / 김두완 (역),흐름출판,https://image.yes24.com/goods/108389546/L,2022년 03월,#서탐대실,31497.0,8.8,
2024,1,부를 끌어당기는 글쓰기,부아c (저),황금부엉이,https://image.yes24.com/goods/124608779/L,2024년 02월,,3096.0,9.4,
2024,1,이서윤쌤의 초등한자어휘 일력,이서윤글 / 오우성그림,메가스터디북스,https://image.yes24.com/goods/122541655/L,2023년 10월,#공부습관,24363.0,9.8,
